,Street_Address,City,Zipcode,Bed,Bath,Floor_Area(sq.ft),Price($),Estimated_mortgage/mo($),Elementary_School,Middle_school,High_School,Crime,Commute_By_Car(%),Restaurants,Groceries,Nightlife,Year_Built,lot_Size(sq.ft),Property_Tax_2020,Property_Assessment($)
0,1183 Solana Dr,Mountain View,94040,4,2.0,1501.0,2425000.0,9551.0,1.0,1.0,1.0,Lowest,89.0,139.0,17.0,20.0,1951,6250.0,6451.0,519970.0
1,1031 Embarcadero Rd,Palo Alto,94303,7,6.0,2842.0,3499888.0,13751.0,1.0,1.0,1.0,Lowest,90.0,29.0,6.0,3.0,2021,6050.0,25499.0,2080800.0
2,764 Alice Ave,Mountain View,94041,4,3.0,1841.0,2208888.0,8706.0,1.0,1.0,1.0,Lowest,85.0,158.0,18.0,20.0,1953,9877.0,1175.0,72187.0
3,798 W Iowa Ave,Sunnyvale,94086,5,4.0,2676.0,2398000.0,9446.0,1.0,1.0,1.0,Lowest,92.0,183.0,18.0,27.0,1955,10262.0,,
4,1885 Peacock Ave,Mountain View,94043,4,4.0,2076.0,2699000.0,10622.0,1.0,1.0,1.0,Lowest,92.0,166.0,14.0,25.0,2016,6046.0,30974.0,2523000.0
5,1129 Prunelle Ct,Sunnyvale,94087,4,2.0,1988.0,2498000.0,9836.0,1.0,1.0,1.0,Lowest,94.0,98.0,16.0,11.0,1963,0.3,27886.0,2371000.0
6,3785 Park Blvd,Palo Alto,94306,3,2.0,1234.0,1799000.0,7104.0,1.0,1.0,1.0,Lowest,83.0,100.0,12.0,19.0,1940,5636.664,9501.0,732856.0
7,2110 Jardin Dr,Mountain View,94040,3,1.0,1006.0,2095000.0,8261.0,1.0,1.0,1.0,Lowest,89.0,130.0,18.0,19.0,1952,5632.0,1276.0,80638.0
8,844 Richardson Ct,Palo Alto,94303,4,2.0,1789.0,2898000.0,11400.0,1.0,1.0,1.0,Lowest,90.0,44.0,8.0,2.0,1956,7461.0,20487.0,1666151.0
9,405 Chesley Ave,Mountain View,94040,4,4.0,3383.0,3595000.0,14123.0,1.0,1.0,1.0,Lowest,89.0,55.0,9.0,2.0,1994,8515.0,24569.0,2026767.0
